,cylinders,displ,make,year,fuelType
1943,6.0,3.8,Pontiac,1995,Regular
1944,8.0,5.7,Pontiac,1995,Premium
1946,2.0,1.1,Mazda,1985,Regular
1949,8.0,6.8,Rolls-Royce,1995,Premium
1953,4.0,2.0,Saab,1995,Regular
1954,4.0,2.3,Saab,1995,Regular
1956,6.0,2.5,Saab,1995,Regular
1959,4.0,1.9,Saturn,1995,Regular
1963,4.0,1.8,Subaru,1995,Regular
1967,4.0,2.2,Subaru,1995,Regular
1968,6.0,2.5,Maserati,1985,Regular
1969,6.0,3.3,Subaru,1995,Premium
1971,8.0,5.8,Saleen,1995,Regular
1972,3.0,1.0,Suzuki,1995,Regular
1974,4.0,1.8,Toyota,1995,Regular
1979,8.0,5.3,Aston Martin,1985,Regular
1983,4.0,2.0,Volkswagen,1995,Regular
1985,6.0,3.2,Acura,1995,Premium
1989,5.0,2.5,Acura,1995,Premium
1991,6.0,3.0,Alfa Romeo,1995,Premium
1993,6.0,2.8,Audi,1995,Regular
1997,5.0,2.2,Audi,1995,Premium
2008,8.0,3.0,BMW,1995,Premium
2012,4.0,2.3,Buick,1995,Regular
2013,5.0,2.2,Audi,1985,Regular
2015,6.0,3.1,Buick,1995,Regular
2017,4.0,2.2,Chevrolet,1995,Regular
2018,6.0,3.1,Chevrolet,1995,Regular
2021,4.0,2.3,Chevrolet,1995,Regular
2026,4.0,2.0,Chrysler,1995,Regular
2030,6.0,2.5,Chrysler,1995,Regular
2031,4.0,2.4,Nissan,1995,Regular
2033,4.0,2.0,Dodge,1995,Regular
2038,6.0,2.5,Dodge,1995,Regular
2042,6.0,2.5,Ford,1995,Regular
2044,4.0,1.8,Ford,1995,Regular
2047,4.0,1.9,Ford,1995,Regular
2049,4.0,1.6,Geo,1995,Regular
2051,4.0,1.8,Geo,1995,Regular
2053,4.0,1.6,Kia,1995,Regular
2056,4.0,1.8,Kia,1995,Regular
2057,4.0,2.0,Chevrolet,1985,Regular
2063,6.0,2.7,Honda,1995,Regular
2066,4.0,1.6,Hyundai,1995,Regular
2067,4.0,1.8,Hyundai,1995,Regular
2072,4.0,2.0,Infiniti,1995,Regular
2077,6.0,4.0,Jaguar,1995,Premium
2078,6.0,3.0,Lexus,1995,Regular
2080,4.0,2.0,Mercury,1995,Regular
2081,6.0,2.5,Mercury,1995,Regular
2083,4.0,1.8,Mercury,1995,Regular
2085,4.0,1.9,Mercury,1995,Regular
2087,6.0,2.3,Mazda,1995,Premium
2089,4.0,1.5,Mazda,1995,Regular
2098,4.0,2.2,Mercedes-Benz,1995,Premium
2099,6.0,2.8,Mercedes-Benz,1995,Premium
2100,6.0,3.6,Mercedes-Benz,1995,Premium
2103,8.0,4.2,Mercedes-Benz,1995,Premium
2108,4.0,2.4,Mitsubishi,1995,Regular
2110,6.0,2.5,Mitsubishi,1995,Regular
2111,4.0,2.3,Oldsmobile,1995,Regular
2113,4.0,1.6,Chevrolet,1985,Regular
2116,6.0,3.1,Oldsmobile,1995,Regular
2118,4.0,2.0,Plymouth,1995,Regular
2120,4.0,2.3,Pontiac,1995,Regular
2123,6.0,3.1,Pontiac,1995,Regular
2126,4.0,2.2,Pontiac,1995,Regular
2139,4.0,1.6,Toyota,1995,Regular
2145,6.0,2.8,Volkswagen,1995,Regular
2146,4.0,2.2,Chrysler,1985,Regular
2151,6.0,2.9,Volvo,1995,Regular
2157,4.0,2.2,Chrysler,1985,Premium
2160,6.0,3.8,Buick,1995,Regular
2162,8.0,4.6,Cadillac,1995,Premium
2166,4.0,2.4,Chrysler,1995,Regular
2171,4.0,2.5,Dodge,1995,Regular
2173,4.0,2.4,Dodge,1995,Regular
2175,6.0,3.0,Ford,1995,Regular
2176,6.0,3.0,Ford,1995,Premium
2177,6.0,3.2,Ford,1995,Premium
2181,6.0,3.8,Ford,1995,Premium
2184,8.0,4.6,Ford,1995,Regular
2185,4.0,2.0,Hyundai,1995,Regular
2187,8.0,4.5,Infiniti,1995,Premium
2192,6.0,3.8,Mercury,1995,Regular
2193,8.0,4.6,Mercury,1995,Regular
2194,8.0,4.6,Lincoln,1995,Premium
2195,6.0,3.0,Mercury,1995,Regular
2202,6.0,3.0,Mazda,1995,Premium
2203,8.0,4.0,Oldsmobile,1995,Premium
2208,6.0,3.4,Oldsmobile,1995,Regular
2209,4.0,2.5,Plymouth,1995,Regular
2210,6.0,3.0,Plymouth,1995,Regular
2212,4.0,2.6,Chrysler,1985,Regular
2223,4.0,1.6,Ford,1985,Regular
2225,4.0,1.6,Nissan,1985,Regular
2229,6.0,3.0,Toyota,1995,Regular
2234,5.0,2.3,Volvo,1995,Regular
2235,5.0,2.4,Volvo,1995,Regular
2238,4.0,2.3,Volvo,1995,Regular
2241,8.0,5.7,Buick,1995,Regular
2243,8.0,4.9,Cadillac,1995,Premium
2244,8.0,5.7,Cadillac,1995,Regular
